1	7.4405	4.611	4	1	1	212	232	10
2	4.0612	7.3171	4	2	1	198	218	10
3	3.9143	5.2588	3	2	1	35	55	10
4	6.6933	7.9718	1	1	1	30	50	10
5	3.6295	6.2009	3	2	1	214	234	10
6	5.6962	4.3111	5	3	1	70	90	10
7	3.4731	3.1107	3	3	1	30	50	10
8	2.4926	7.2492	3	2	1	81	101	10
9	7.4181	4.3938	5	1	1	70	90	10
10	6.8309	4.9868	4	1	1	51	71	10
11	7.4719	3.8521	5	1	1	139	159	10
12	1.5859	5.7279	1	2	1	216	236	10
13	4.4589	6.9933	4	2	1	156	176	10
14	7.1094	5.4706	5	1	1	222	242	10
15	2.4707	4.9836	4	2	1	162	182	10
16	5.1428	8.9539	2	1	1	168	188	10
17	6.4315	4.228	5	1	1	96	116	10
18	8.4798	4.8359	4	1	1	68	88	10
19	2.8543	4.1703	3	2	1	257	277	10
20	6.6406	5.4685	3	1	1	36	56	10
21	8.6995	5.2805	1	1	1	50	70	10
22	1.4116	3.4348	5	2	1	108	128	10
23	5.6415	5.2477	2	1	1	91	111	10
24	8.2097	5.3244	4	1	1	83	103	10
25	4.4558	5.3413	1	2	1	82	102	10
26	7.4074	2.1401	2	3	1	145	165	10
27	4.8278	3.0547	5	3	1	183	203	10
28	3.9527	6.2941	1	2	1	36	56	10
29	2.3569	3.2303	5	3	1	249	269	10
30	2.5858	2.5606	1	3	1	225	245	10
31	3.6147	8.0427	5	2	1	27	47	10
32	4.7688	4.2318	5	3	1	198	218	10
33	4.2596	7.7559	2	2	1	227	247	10
34	5.9226	4.0129	2	3	1	25	45	10
35	8.0175	7.2788	3	1	1	44	64	10
36	4.7196	7.5118	1	2	1	183	203	10
37	8.1876	4.4339	3	1	1	238	258	10
38	3.6746	5.7732	5	2	1	216	236	10
39	8.2159	6.6165	5	1	1	203	223	10
40	4.0196	6.8796	1	2	1	227	247	10
41	8.6328	5.3425	5	1	1	127	147	10
42	5.3208	3.4889	5	3	1	182	202	10
43	1.7439	4.7079	1	2	1	69	89	10
44	4.6397	2.0181	3	3	1	51	71	10
45	3.8329	7.2436	1	2	1	120	140	10
46	4.4933	4.4924	1	2	1	252	272	10
47	1.7288	5.7523	5	2	1	163	183	10
48	2.9287	7.731	4	1	1	53	73	10
49	4.9112	2.7625	4	3	1	168	188	10
50	2.8097	5.2943	2	1	1	225	245	10
51	7.0969	3.7805	2	1	1	65	85	10
52	4.6899	6.1146	5	1	1	137	157	10
53	6.7251	5.6219	5	2	1	127	147	10
54	4.4664	8.0739	4	1	1	199	219	10
55	4.1444	2.4318	2	3	1	178	198	10
56	6.0667	5.992	1	2	1	86	106	10
57	3.6235	7.4237	5	1	1	220	240	10
